gain,actDist,GoodBuyInterReward,BadBuyInterPenalty,ImpossibleBuyPenalty,GoodSellInterReward,BadSellInterPenalty,ImpossibleSellPenalty,NonInvestmentPenalty,Layers,TendWindowBars,Lookback
-6.088495211067754,"[(0, 463); (1, 499); (2, 1196)]",0.66,-0.08,-0.72,0.63,-0.9400000000000001,-0.75,-0.08,3,20,6
0,"[(2, 2158)]",0.6,-0.29,-0.99,0.67,-0.62,-0.81,-0.02,3,20,6
0,"[(2, 2158)]",0.6900000000000001,-0.04,-0.9400000000000001,0.85,-0.07,-0.79,-0.02,4,10,3
0,"[(2, 2158)]",0.64,-0.29,-0.8,0.92,-0.93,-0.88,0,3,30,10
0,"[(2, 2158)]",0.66,-0.28,-0.8300000000000001,0.9400000000000001,-0.17,-0.62,-0.05,5,20,6
0,"[(2, 2158)]",0.79,-0.14,-0.75,0.8300000000000001,-0.21,-0.88,-0.03,1,20,6
-0.4493423199716211,"[(0, 21); (1, 21); (2, 2116)]",0.9400000000000001,-0.18,-0.62,0.92,-0.44,-0.99,-0.04,2,20,6
-1.1037786449095424,"[(0, 68); (1, 68); (2, 2022)]",0.7000000000000001,-0.12,-0.72,0.8,-0.85,-0.61,-0.04,2,20,6
0,"[(2, 2158)]",0.81,-0.29,-0.67,0.75,-0.89,-0.7000000000000001,-0.05,4,40,13
0.9134411868597669,"[(0, 1); (2, 2157)]",0.88,-0.16,-0.75,0.93,-0.75,-0.97,-0.09,4,40,13
0,"[(2, 2158)]",0.75,-0.28,-0.84,0.9400000000000001,-0.8,-0.92,-0.06,3,20,6
0.7741971034969976,"[(0, 1); (2, 2157)]",0.8200000000000001,-0.17,-0.78,0.89,-0.24,-0.96,-0.03,2,40,13
-0.02889960979070592,"[(0, 2); (1, 2); (2, 2154)]",0.9500000000000001,-0.06,-0.9,0.68,-0.74,-0.81,-0.07,6,20,6
0,"[(2, 2158)]",0.78,-0.24,-0.8300000000000001,0.8300000000000001,-0.45,-0.75,-0.05,2,40,13
0,"[(1, 4); (2, 2154)]",0.93,-0.16,-0.81,0.63,-0.53,-0.66,-0.01,4,40,13
-0.9310787707523843,"[(0, 65); (1, 133); (2, 1960)]",0.66,-0.12,-0.61,0.8,-0.18,-0.85,-0.02,5,40,13
0,"[(1, 6); (2, 2152)]",0.99,-0.09,-0.84,0.87,-0.51,-0.91,-0.02,3,40,13
0.4838354026250443,"[(0, 5); (1, 30); (2, 2123)]",0.68,-0.22,-0.78,0.9400000000000001,-0.93,-0.65,0,4,20,6
-2.187980134799574,"[(0, 212); (1, 352); (2, 1594)]",0.99,-0.11,-0.68,0.9,-0.27,-0.98,-0.08,4,20,6
0,"[(2, 2158)]",0.74,-0.22,-0.65,0.78,-0.25,-0.68,-0.03,5,40,13
0,"[(1, 134); (2, 2024)]",0.89,-0.21,-0.9400000000000001,0.92,-0.1,-0.89,-0.06,2,10,3
0.3878141184817311,"[(0, 23); (1, 105); (2, 2030)]",0.8300000000000001,-0.24,-0.75,0.97,-0.13,-0.87,-0.03,3,30,10
-0.08447474390674674,"[(0, 7); (1, 26); (2, 2125)]",0.9,-0.14,-0.81,0.89,-0.06,-0.7000000000000001,-0.08,6,40,13
0,"[(1, 2); (2, 2156)]",0.72,-0.2,-0.8,0.89,-0.43,-0.86,-0.05,4,30,10
0,"[(1, 64); (2, 2094)]",0.79,-0.14,-0.8,0.98,-0.91,-0.92,-0.03,6,40,13
0.7252869811990066,"[(0, 2097); (2, 61)]",0.9,-0.22,-0.79,0.8,-0.61,-0.99,-0.09,1,10,3
0,"[(2, 2158)]",0.8200000000000001,-0.22,-0.88,0.85,-0.51,-0.9,-0.01,3,10,3
0.41578148279531746,"[(0, 28); (1, 170); (2, 1960)]",0.6,-0.08,-0.89,0.86,-0.59,-0.91,-0.09,2,10,3
0,"[(1, 32); (2, 2126)]",0.6,-0.2,-0.9400000000000001,0.68,-0.86,-0.9,-0.03,6,20,6
0,"[(1, 6); (2, 2152)]",0.7000000000000001,-0.24,-0.8,0.71,-0.53,-0.71,-0.02,2,10,3
0,"[(1, 334); (2, 1824)]",0.9,0,-0.7000000000000001,0.75,-0.51,-0.6,-0.09,3,20,6
0.1763758389261745,"[(0, 4); (1, 11); (2, 2143)]",0.8300000000000001,-0.25,-0.67,0.75,-0.68,-0.91,0,4,40,13
0,"[(1, 93); (2, 2065)]",0.7000000000000001,-0.18,-0.86,0.98,-0.86,-0.76,-0.02,5,30,10
-0.49968357573607664,"[(0, 4); (1, 166); (2, 1988)]",0.63,-0.15,-0.84,0.62,-0.29,-0.71,-0.08,6,10,3
0,"[(1, 98); (2, 2060)]",0.65,-0.15,-0.79,0.62,-0.01,-0.86,-0.01,4,40,13
1.0907453196750265,"[(0, 1); (1, 23); (2, 2134)]",0.76,0,-0.87,0.87,-0.1,-0.97,-0.03,5,40,13
0,"[(1, 7); (2, 2151)]",0.88,-0.16,-0.75,0.93,-0.75,-0.97,-0.09,4,40,13
0,"[(1, 341); (2, 1817)]",0.9,-0.22,-0.79,0.8,-0.61,-0.99,-0.09,1,10,3
-3.5649067045051437,"[(0, 234); (1, 353); (2, 1571)]",0.68,-0.22,-0.78,0.9400000000000001,-0.93,-0.65,0,4,20,6
0.6935906349769421,"[(0, 303); (1, 1); (2, 1854)]",0.6,-0.08,-0.89,0.86,-0.59,-0.91,-0.09,2,10,3
-2.784881667255387,"[(0, 773); (1, 411); (2, 974)]",0.8300000000000001,-0.25,-0.67,0.75,-0.68,-0.91,0,4,40,13
0.23671494171670787,"[(0, 1); (1, 11); (2, 2146)]",0.93,-0.16,-0.81,0.63,-0.53,-0.66,-0.01,4,40,13
0.9191940404398722,"[(0, 155); (1, 1); (2, 2002)]",0.6,-0.08,-0.89,0.86,-0.59,-0.91,-0.09,2,10,3
0.1253196750264924,"[(0, 1); (1, 32); (2, 2125)]",0.76,0,-0.87,0.87,-0.1,-0.97,-0.03,5,40,13
0,"[(1, 28); (2, 2130)]",0.8200000000000001,-0.17,-0.78,0.89,-0.24,-0.96,-0.03,2,40,13
0.669352252571834,"[(0, 2); (1, 24); (2, 2132)]",0.8300000000000001,-0.24,-0.75,0.97,-0.13,-0.87,-0.03,3,30,10
-0.44654558354026247,"[(0, 1); (1, 21); (2, 2136)]",0.8300000000000001,-0.24,-0.75,0.97,-0.13,-0.87,-0.03,3,30,10
0,"[(1, 275); (2, 1883)]",0.98,-0.13,-0.78,1,0,-0.93,-0.08,2,10,3
-3.4232053919829726,"[(0, 242); (1, 1878); (2, 38)]",0.74,-0.14,-0.99,0.74,-0.51,-0.79,0,1,10,3
0,"[(1, 48); (2, 2110)]",0.9400000000000001,-0.15,-0.96,0.85,-0.37,-0.81,-0.04,3,10,3
0,"[(1, 20); (2, 2138)]",0.97,-0.25,-0.8300000000000001,0.9500000000000001,-0.38,-0.88,-0.08,3,30,10
0.40179780063852427,"[(0, 82); (1, 10); (2, 2066)]",0.77,-0.08,-0.8300000000000001,0.73,-0.07,-0.8300000000000001,0,4,10,3
-0.013924408336276934,"[(0, 1); (1, 131); (2, 2026)]",0.66,-0.17,-0.91,0.62,-0.49,-0.73,-0.05,2,40,13
0,"[(1, 48); (2, 2110)]",0.85,-0.16,-0.6900000000000001,1,-0.93,-0.72,0,4,10,3
-1.034792479602696,"[(0, 102); (1, 721); (2, 1335)]",0.63,-0.27,-0.63,0.7000000000000001,-1,-0.61,-0.1,3,20,6
0.014915927633912736,"[(0, 1); (1, 474); (2, 1683)]",0.9400000000000001,-0.28,-1,0.87,-0.08,-0.6,0,3,10,3
0,"[(2, 2158)]",0.64,-0.28,-0.81,0.9,-0.28,-0.93,-0.02,3,30,10
-1.1158978361120964,"[(0, 98); (1, 1314); (2, 746)]",0.81,-0.3,-0.6,1,0,-0.6,-0.06,4,30,10
0,"[(1, 12); (2, 2146)]",0.68,-0.04,-0.91,0.67,-0.37,-0.87,-0.02,4,20,6
1.028266761262859,"[(0, 154); (1, 8); (2, 1996)]",0.7000000000000001,-0.02,-0.92,0.86,-0.07,-0.88,-0.02,4,30,10
0,"[(2, 2158)]",0.9400000000000001,-0.16,-0.81,0.6,0,-0.76,-0.1,1,30,10
0.8474111387016672,"[(0, 2155); (2, 3)]",0.79,-0.14,-0.75,0.8300000000000001,-0.21,-0.88,-0.03,1,20,6
0.4493423199716211,"[(0, 33); (1, 5); (2, 2120)]",0.85,-0.24,-0.81,0.77,-0.54,-0.75,-0.05,4,10,3
0.7252869811990066,"[(0, 2158)]",0.6,0,-0.64,0.92,-0.05,-0.9400000000000001,-0.09,1,10,3
-2.2262021993614756,"[(0, 438); (1, 408); (2, 1312)]",0.77,-0.12,-0.73,1,-0.9,-0.8,-0.02,2,30,10
-0.24599788060755917,"[(0, 184); (1, 401); (2, 1573)]",0.88,-0.16,-0.75,0.93,-0.75,-0.97,-0.09,4,40,13
0,"[(1, 121); (2, 2037)]",0.78,-0.24,-0.85,0.78,-0.35000000000000003,-0.75,-0.08,1,30,10
0,"[(1, 36); (2, 2122)]",0.8200000000000001,-0.17,-0.78,0.89,-0.24,-0.96,-0.03,2,40,13
-2.3520553387726144,"[(0, 171); (1, 1983); (2, 4)]",0.6,-0.13,-0.87,0.92,-0.61,-1,0,1,30,10
0,"[(2, 2158)]",0.6,0,-1,0.88,0,-0.6,-0.04,1,10,3
0.27967364313586374,"[(0, 1); (1, 122); (2, 2035)]",0.92,-0.15,-0.8,0.63,-0.5,-0.66,-0.01,4,30,10
0,"[(2, 2158)]",0.75,-0.01,-0.78,0.87,-0.2,-0.92,-0.01,4,30,10
0,"[(1, 424); (2, 1734)]",0.6,-0.3,-0.84,0.85,-0.15,-0.85,-0.04,6,20,6
0,"[(1, 2158)]",0.8,-0.06,-0.77,0.93,-0.6,-0.68,-0.08,1,20,6
-1.225902802412203,"[(0, 198); (1, 142); (2, 1818)]",0.73,-0.22,-0.64,0.77,-0.25,-0.67,-0.02,5,30,10
-8.776158921603406,"[(0, 1197); (1, 914); (2, 47)]",0.76,-0.23,-0.86,0.87,-0.12,-0.91,-0.03,3,30,10
-0.9004450724125751,"[(0, 83); (1, 144); (2, 1931)]",1,-0.25,-0.72,1,-0.55,-0.88,-0.06,3,50,16
0.7066420716566159,"[(0, 914); (2, 1244)]",0.88,-0.21,-0.93,0.91,-0.09,-0.88,-0.06,1,10,3
-8.737004611564384,"[(0, 1417); (1, 715); (2, 26)]",0.78,-0.27,-0.81,0.71,-0.35000000000000003,-0.86,0,2,30,10
0.8408854203618304,"[(0, 1); (2, 2157)]",0.72,-0.19,-0.8,0.88,-0.29,-0.9500000000000001,-0.03,4,30,10
0,"[(1, 62); (2, 2096)]",0.6,-0.08,-0.88,0.86,-0.59,-0.9,-0.09,2,10,3
0,"[(2, 2158)]",0.75,-0.12,-0.92,0.73,-0.79,-0.9500000000000001,-0.01,5,20,6
-0.43349414686058885,"[(0, 1908); (1, 218); (2, 32)]",0.6,-0.18,-0.6900000000000001,0.6,-0.66,-0.62,-0.03,1,10,3
-2.3820021193924408,"[(0, 202); (1, 1605); (2, 351)]",0.92,-0.15,-0.8,0.62,-0.53,-0.66,0,3,40,13
-2.366971266406527,"[(0, 1076); (1, 1081); (2, 1)]",0.6,0,-0.6,1,-1,-0.79,-0.08,1,10,3
0.7834800423878489,"[(0, 1); (1, 3); (2, 2154)]",0.8300000000000001,-0.25,-0.67,0.75,-0.68,-0.91,0,4,40,13
-0.09561427057576828,"[(0, 11); (1, 68); (2, 2079)]",0.76,0,-0.87,0.87,-0.1,-0.97,-0.03,5,40,13
-1.2864987584249734,"[(0, 85); (1, 544); (2, 1529)]",0.62,-0.13,-0.84,0.62,-0.28,-0.72,-0.07,6,10,3
0,"[(1, 71); (2, 2087)]",0.7000000000000001,-0.02,-0.92,0.86,-0.07,-0.88,-0.02,4,30,10
0,"[(2, 2158)]",0.79,-0.14,-0.75,0.8300000000000001,-0.21,-0.88,-0.03,1,20,6
0.932245477119546,"[(0, 65); (2, 2093)]",0.72,-0.19,-0.8,0.88,-0.29,-0.9500000000000001,-0.03,4,30,10
0,"[(1, 6); (2, 2152)]",0.6,0,-0.64,0.92,-0.05,-0.9400000000000001,-0.09,1,10,3
0,"[(1, 35); (2, 2123)]",0.88,-0.21,-0.93,0.91,-0.09,-0.88,-0.06,1,10,3
-5.25506775452288,"[(0, 403); (1, 1609); (2, 146)]",0.77,-0.08,-0.8300000000000001,0.73,-0.07,-0.8300000000000001,0,4,10,3
0.05779921958141184,"[(0, 4); (1, 137); (2, 2017)]",0.72,-0.19,-0.8,0.88,-0.29,-0.9500000000000001,-0.03,4,30,10
-0.012067820558106675,"[(0, 10); (1, 139); (2, 2009)]",0.8300000000000001,-0.25,-0.67,0.75,-0.68,-0.91,0,4,40,13
-0.7980021284143313,"[(0, 21); (1, 599); (2, 1538)]",0.85,-0.24,-0.81,0.77,-0.54,-0.75,-0.05,4,10,3
0.9285164952110676,"[(0, 1); (2, 2157)]",0.92,-0.15,-0.8,0.63,-0.5,-0.66,-0.01,4,30,10
0,"[(2, 2158)]",0.92,-0.15,-0.8,0.63,-0.5,-0.66,-0.01,4,30,10
0,"[(1, 69); (2, 2089)]",0.65,-0.27,-0.81,0.71,-0.27,-0.6,0,1,10,3
0,"[(1, 5); (2, 2153)]",0.6,0,-0.66,0.6,-0.42,-0.71,0,2,10,3
0,"[(1, 1504); (2, 654)]",0.74,-0.26,-0.9500000000000001,0.73,-0.08,-0.73,-0.06,1,20,6
0.8474111387016672,"[(0, 2107); (1, 1); (2, 50)]",0.61,-0.07,-0.8300000000000001,1,-1,-0.81,-0.06,2,20,6
0,"[(1, 523); (2, 1635)]",0.85,-0.3,-0.74,0.75,-0.11,-0.8200000000000001,0,2,20,6
-0.14574214058636523,"[(0, 11); (1, 19); (2, 2128)]",0.9500000000000001,-0.26,-0.76,0.99,-0.52,-0.8,-0.05,2,40,13
0,"[(1, 187); (2, 1971)]",1,-0.3,-0.6,1,-0.55,-0.88,-0.06,1,50,16
0,"[(2, 2158)]",0.8300000000000001,0,-0.78,0.85,-1,-0.81,0,1,30,10
0,"[(1, 74); (2, 2084)]",0.88,-0.18,-0.68,0.9500000000000001,0,-0.87,-0.02,5,30,10
0,"[(1, 31); (2, 2127)]",0.9400000000000001,-0.28,-1,0.87,-0.08,-0.6,0,3,10,3
-0.04195104647037956,"[(0, 1); (1, 56); (2, 2101)]",0.68,-0.04,-0.91,0.66,-0.4,-0.87,-0.01,4,20,6
0,"[(1, 16); (2, 2142)]",0.7000000000000001,-0.02,-0.92,0.86,-0.07,-0.88,-0.02,4,30,10
0,"[(1, 1); (2, 2157)]",0.93,-0.15,-0.81,0.62,-0.53,-0.65,0,4,40,13
-0.4613620628753091,"[(0, 38); (1, 140); (2, 1980)]",0.92,-0.06,-0.87,1,0,-1,0,5,40,13
-9.551787158566867,"[(0, 1064); (1, 1094)]",0.78,-0.14,-0.75,0.8300000000000001,-0.22,-0.88,-0.02,1,20,6
-0.03915431003902092,"[(0, 1); (1, 2157)]",0.9400000000000001,-0.16,-0.81,0.6,-0.01,-0.76,-0.1,1,20,6
-0.37103369989357926,"[(0, 5); (1, 89); (2, 2064)]",0.85,-0.24,-0.81,0.77,-0.54,-0.75,-0.05,4,10,3
-5.121756651294785,"[(0, 550); (1, 1039); (2, 569)]",0.75,-0.19,-0.81,0.8300000000000001,-0.34,-0.76,-0.08,2,10,3
0.7392706633557998,"[(0, 1); (1, 2); (2, 2155)]",0.6,-0.29,-0.63,0.97,0,-0.92,0,4,10,3
0,"[(1, 71); (2, 2087)]",0.93,-0.05,-0.9400000000000001,0.8200000000000001,-0.91,-0.6,0,5,20,6
0,"[(1, 4); (2, 2154)]",0.92,-0.15,-0.8,0.63,-0.5,-0.66,-0.01,4,30,10
0,"[(1, 2041); (2, 117)]",0.67,-0.22,-0.77,0.93,-0.93,-0.64,0,3,20,6
0.7597800638524299,"[(0, 1); (2, 2157)]",0.9,-0.07,-0.74,0.8200000000000001,-0.63,-0.68,-0.04,3,10,3
-0.2899283433841788,"[(0, 46); (1, 31); (2, 2081)]",0.74,-0.01,-0.77,0.86,-0.21,-0.91,-0.01,4,20,6
0,"[(1, 71); (2, 2087)]",0.74,-0.22,-0.91,0.67,0,-1,-0.05,5,50,16
0,"[(2, 2158)]",0.76,-0.05,-0.84,0.88,-0.48,-0.87,-0.05,1,30,10
0,"[(1, 6); (2, 2152)]",0.73,-0.08,-0.76,0.8200000000000001,-0.16,-0.78,-0.02,5,30,10
0.7802894643490599,"[(0, 2157); (1, 1)]",0.77,-0.15,-0.92,0.88,-0.09,-0.91,-0.04,2,30,10
0.40009466619569056,"[(0, 1); (1, 1); (2, 2156)]",1,-0.1,-0.8,0.6,-1,-1,0,3,40,13
-4.491558708761972,"[(0, 916); (1, 847); (2, 395)]",0.72,-0.19,-0.8,0.88,-0.29,-0.9500000000000001,-0.03,4,30,10
-0.07457963816956367,"[(0, 3); (1, 63); (2, 2092)]",0.85,0,-0.77,0.6,-0.22,-0.6,-0.02,6,20,6
0,"[(1, 73); (2, 2085)]",0.6,-0.08,-0.88,0.86,-0.59,-0.9,-0.09,2,10,3
0,"[(1, 4); (2, 2154)]",0.92,-0.3,-0.61,0.98,0,-0.77,-0.05,4,40,13
-2.1348421426037603,"[(0, 191); (1, 194); (2, 1773)]",0.75,-0.01,-0.87,0.77,-0.65,-0.9500000000000001,-0.02,4,30,10
0,"[(1, 748); (2, 1410)]",0.6,-0.05,-1,0.6,-0.21,-0.6,-0.04,3,30,10
-2.54596239801348,"[(0, 229); (1, 1711); (2, 218)]",0.81,-0.03,-0.8300000000000001,0.86,-0.63,-0.92,-0.01,4,30,10
0.9117360766229159,"[(0, 71); (1, 40); (2, 2047)]",0.78,-0.11,-0.73,0.7000000000000001,-0.63,-0.72,-0.03,3,30,10
-1.4543029443064917,"[(0, 142); (1, 1126); (2, 890)]",0.87,-0.19,-0.85,0.92,-0.17,-0.96,-0.07,4,30,10
0,"[(1, 51); (2, 2107)]",0.76,0,-0.84,0.74,-0.09,-0.91,-0.02,4,10,3
0,"[(1, 18); (2, 2140)]",0.74,-0.06,-0.86,0.8,-0.18,-0.79,-0.03,5,10,3
0,"[(2, 2158)]",0.67,-0.27,-0.93,1,0,-0.98,0,1,40,13
0.7157145884846344,"[(0, 2); (2, 2156)]",0.76,0,-0.86,0.87,-0.1,-0.96,-0.03,5,40,13
-0.012119191202554096,"[(0, 1); (1, 107); (2, 2050)]",0.78,-0.11,-0.73,0.7000000000000001,-0.63,-0.72,-0.03,3,30,10
0,"[(1, 44); (2, 2114)]",0.77,-0.15,-0.92,0.88,-0.09,-0.91,-0.04,2,30,10
-0.18178786803831146,"[(0, 12); (1, 22); (2, 2124)]",0.9,-0.07,-0.74,0.8200000000000001,-0.63,-0.68,-0.04,3,10,3
-4.00306207875133,"[(0, 399); (1, 261); (2, 1498)]",0.6,-0.29,-0.63,0.97,0,-0.92,0,4,10,3
0,"[(1, 15); (2, 2143)]",0.76,0,-0.86,0.87,-0.1,-0.96,-0.03,5,40,13
0,"[(1, 82); (2, 2076)]",0.7000000000000001,-0.02,-0.92,0.86,-0.07,-0.88,-0.02,4,30,10
-1.7981052631578949,"[(0, 289); (1, 459); (2, 1410)]",0.93,-0.15,-0.81,0.62,-0.53,-0.65,0,4,40,13
0,"[(1, 2); (2, 2156)]",0.77,-0.15,-0.92,0.88,-0.09,-0.91,-0.04,2,30,10
0,"[(2, 2158)]",0.61,-0.07,-0.8300000000000001,1,-1,-0.81,-0.06,2,20,6
0,"[(1, 27); (2, 2131)]",1,-0.1,-0.8,0.6,-1,-1,0,3,40,13
0.8336079123984459,"[(0, 5); (1, 30); (2, 2123)]",1,-0.1,-0.8,0.6,-1,-1,0,3,40,13
0.5985015963107484,"[(0, 1341); (1, 6); (2, 811)]",1,-0.16,-0.8300000000000001,0.6,-0.5,-0.8300000000000001,0,2,30,10
-0.24984178786803832,"[(0, 813); (1, 43); (2, 1302)]",0.6,0,-0.98,0.6900000000000001,-0.4,-1,0,4,30,10
-0.12585313941113868,"[(0, 2); (1, 244); (2, 1912)]",0.75,-0.03,-0.68,0.63,-0.63,-0.62,-0.02,5,10,3
0,"[(2, 2158)]",0.8300000000000001,0,-0.8,0.74,-0.43,-0.9500000000000001,-0.05,4,30,10
-0.08483433841787869,"[(0, 2); (1, 7); (2, 2149)]",0.81,0,-0.7000000000000001,0.81,-0.68,-0.81,0,6,30,10
-3.363541681447322,"[(0, 229); (1, 1601); (2, 328)]",0.66,-0.16,-0.77,0.71,-0.84,-0.6900000000000001,-0.08,1,10,3
0,"[(1, 41); (2, 2117)]",0.67,0,-0.93,0.74,-0.14,-0.88,-0.02,6,10,3
0,"[(1, 1100); (2, 1058)]",0.64,-0.18,-1,0.66,-0.32,-0.87,-0.1,1,10,3
-0.021350759448957965,"[(0, 1); (1, 2156); (2, 1)]",1,-0.01,-0.89,0.6,-1,-0.77,-0.05,1,50,16
0,"[(1, 35); (2, 2123)]",0.8,-0.11,-0.99,0.78,-0.09,-0.79,-0.01,4,10,3
0,"[(2, 2158)]",0.71,-0.03,-0.88,0.7000000000000001,-0.22,-0.93,-0.01,4,20,6
0.5118027669386307,"[(0, 1232); (1, 49); (2, 877)]",0.74,0,-0.87,0.86,-0.08,-0.9,-0.02,4,30,10
0,"[(2, 2158)]",0.6,-0.21,-0.73,0.92,-0.81,-1,0,1,30,10
-0.11000496630010641,"[(0, 5); (1, 37); (2, 2116)]",0.76,-0.29,-0.77,0.8,-0.1,-0.9400000000000001,-0.01,2,20,6
-0.21907768712309328,"[(0, 9); (1, 77); (2, 2072)]",0.81,-0.05,-0.86,0.8,-0.06,-0.88,-0.05,4,20,6
-4.192307910606598,"[(0, 296); (1, 1862)]",0.61,-0.07,-0.8300000000000001,1,-1,-0.81,-0.06,2,20,6
-1.8421170627882226,"[(0, 161); (1, 330); (2, 1667)]",0.66,-0.06,-0.84,0.88,-0.07,-0.9500000000000001,-0.01,4,30,10
0,"[(1, 112); (2, 2046)]",1,-0.14,-0.84,0.81,-0.79,-0.93,-0.09,6,50,16
-0.19763604114934372,"[(0, 66); (1, 235); (2, 1857)]",1,-0.11,-1,0.85,-0.9,-0.6,-0.07,1,10,3
-4.435388202048746,"[(0, 1551); (1, 572); (2, 35)]",0.76,-0.29,-0.8200000000000001,0.91,-0.36,-0.9500000000000001,-0.03,4,40,13
0,"[(1, 169); (2, 1989)]",0.85,-0.09,-0.81,0.71,-0.29,-0.77,-0.02,4,30,10
0.8317513246202756,"[(0, 7); (2, 2151)]",0.87,-0.01,-0.73,0.76,-1,-0.87,0,4,50,16
-0.05105616389968209,"[(0, 1); (1, 66); (2, 2091)]",0.74,-0.22,-0.91,0.67,0,-1,-0.05,5,50,16
0.009322454771195459,"[(0, 2); (1, 111); (2, 2045)]",0.77,-0.02,-0.8,0.8300000000000001,-0.62,-0.84,-0.03,3,20,6
-0.6339269244412913,"[(0, 5); (1, 39); (2, 2114)]",0.72,-0.07,-0.6,0.66,-0.86,-1,-0.03,4,10,3
-4.058064561901383,"[(0, 1878); (1, 280)]",0.97,0,-0.8200000000000001,0.89,-1,-0.88,-0.02,1,20,6
